--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 1.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 109] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436483ms
[Conn 110] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436463ms
[Conn 111] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436473ms
[Conn 112] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436487ms
[Conn 113] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 114] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 115] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436475ms
[Conn 116] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436483ms
[Conn 117] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436488ms
[Conn 118] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436464ms
[Conn 119] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436484ms
[Conn 120] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436477ms
[Conn 121] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43649ms
[Conn 122] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436473ms
[Conn 123] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436486ms
[Conn 124] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 125] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436468ms
[Conn 126] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436486ms
[Conn 127] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436489ms
[Conn 128] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 129] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436495ms
[Conn 130] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436474ms
[Conn 131] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436486ms
[Conn 132] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43648ms
[Conn 133] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436478ms
[Conn 134] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436476ms
[Conn 135] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43646ms
[Conn 136] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43649ms
[Conn 137] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436489ms
[Conn 138] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436488ms
[Conn 139] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 140] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436473ms
[Conn 141] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436496ms
