--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 32.8 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 135] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 136] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 137] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 138] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 139] sent: 1.2 GB, received: 1.2 GB, requests: 37650, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 140] sent: 1.2 GB, received: 1.2 GB, requests: 37645, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 141] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 142] sent: 1.2 GB, received: 1.2 GB, requests: 37648, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 143] sent: 1.2 GB, received: 1.2 GB, requests: 37653, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 144] sent: 1.2 GB, received: 1.2 GB, requests: 37653, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 145] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 146] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 147] sent: 1.2 GB, received: 1.2 GB, requests: 37655, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 148] sent: 1.2 GB, received: 1.2 GB, requests: 37663, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 149] sent: 1.2 GB, received: 1.2 GB, requests: 37650, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 150] sent: 1.2 GB, received: 1.2 GB, requests: 37665, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 151] sent: 1.2 GB, received: 1.2 GB, requests: 37649, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 152] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 153] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 154] sent: 1.2 GB, received: 1.2 GB, requests: 37642, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 155] sent: 1.2 GB, received: 1.2 GB, requests: 37640, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 156] sent: 1.2 GB, received: 1.2 GB, requests: 37660, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 157] sent: 1.2 GB, received: 1.2 GB, requests: 37649, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 158] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 159] sent: 1.2 GB, received: 1.2 GB, requests: 37642, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 160] sent: 1.2 GB, received: 1.2 GB, requests: 37637, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 161] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 162] sent: 1.2 GB, received: 1.2 GB, requests: 37653, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 163] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 164] sent: 1.2 GB, received: 1.2 GB, requests: 37644, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 165] sent: 1.2 GB, received: 1.2 GB, requests: 37649, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 166] sent: 1.2 GB, received: 1.2 GB, requests: 37660, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
