--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 129] sent: 335.3 MB, received: 331.5 MB, requests: 1309591, responses: 1294839 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7275 res/sec 7193
[Conn 130] sent: 336.6 MB, received: 331.0 MB, requests: 1314939, responses: 1292946 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7305 res/sec 7183
[Conn 131] sent: 337.3 MB, received: 331.3 MB, requests: 1317752, responses: 1294225 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7320 res/sec 7190
[Conn 132] sent: 335.1 MB, received: 331.3 MB, requests: 1308822, responses: 1294198 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7271 res/sec 7189
[Conn 133] sent: 334.9 MB, received: 331.9 MB, requests: 1308183, responses: 1296503 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7267 res/sec 7202
[Conn 134] sent: 337.3 MB, received: 331.8 MB, requests: 1317623, responses: 1296145 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7320 res/sec 7200
[Conn 135] sent: 336.7 MB, received: 331.6 MB, requests: 1315067, responses: 1295347 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7305 res/sec 7196
[Conn 136] sent: 336.8 MB, received: 331.7 MB, requests: 1315449, responses: 1295761 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7308 res/sec 7198
[Conn 137] sent: 334.5 MB, received: 331.7 MB, requests: 1306774, responses: 1295862 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7259 res/sec 7199
[Conn 138] sent: 336.4 MB, received: 331.5 MB, requests: 1313914, responses: 1294993 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7299 res/sec 7194
[Conn 139] sent: 334.7 MB, received: 331.4 MB, requests: 1307545, responses: 1294457 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7264 res/sec 7191
[Conn 140] sent: 336.7 MB, received: 331.0 MB, requests: 1315067, responses: 1293073 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7305 res/sec 7183
