--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 16.4 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 98] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.51952ms
[Conn 99] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519635ms
[Conn 100] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519534ms
[Conn 101] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.51951ms
[Conn 102] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519665ms
[Conn 103] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519698ms
[Conn 104] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519625ms
[Conn 105] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519699ms
[Conn 106] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519537ms
[Conn 107] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519619ms
[Conn 108] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519473ms
[Conn 109] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519541ms
[Conn 110] sent: 452.1 MB, received: 452.1 MB, requests: 27593, responses: 27592 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.520607ms
[Conn 111] sent: 452.0 MB, received: 452.0 MB, requests: 27590, responses: 27589 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519142ms
[Conn 112] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519488ms
[Conn 113] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519629ms
[Conn 114] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519521ms
[Conn 115] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519517ms
[Conn 116] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.51951ms
[Conn 117] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519646ms
[Conn 118] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519693ms
[Conn 119] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519703ms
[Conn 120] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519523ms
[Conn 121] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519517ms
[Conn 122] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519633ms
[Conn 123] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519561ms
[Conn 124] sent: 452.1 MB, received: 452.1 MB, requests: 27593, responses: 27592 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.520626ms
[Conn 125] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519665ms
[Conn 126] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519541ms
[Conn 127] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519458ms
[Conn 128] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519622ms
[Conn 129] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519491ms
[Conn 130] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519538ms
[Conn 131] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519691ms
[Conn 132] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519702ms
[Conn 133] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519645ms
[Conn 134] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519493ms
