--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 81] sent: 25.2 MB, received: 23.2 MB, requests: 98456, responses: 90497 sent/sec: 140.0 kB recv/sec 128.7 kB req/sec: 546 res/sec 502
[Conn 82] sent: 17.7 MB, received: 15.3 MB, requests: 69164, responses: 59738 sent/sec: 98.4 kB recv/sec 85.0 kB req/sec: 384 res/sec 331
[Conn 83] sent: 17.7 MB, received: 15.4 MB, requests: 69329, responses: 60169 sent/sec: 98.6 kB recv/sec 85.6 kB req/sec: 385 res/sec 334
[Conn 84] sent: 7.9 MB, received: 7.8 MB, requests: 30683, responses: 30659 sent/sec: 43.6 kB recv/sec 43.6 kB req/sec: 170 res/sec 170
[Conn 85] sent: 25.3 MB, received: 23.0 MB, requests: 98968, responses: 90034 sent/sec: 140.8 kB recv/sec 128.0 kB req/sec: 549 res/sec 500
[Conn 86] sent: 25.2 MB, received: 23.1 MB, requests: 98456, responses: 90322 sent/sec: 140.0 kB recv/sec 128.5 kB req/sec: 546 res/sec 501
[Conn 87] sent: 25.3 MB, received: 23.1 MB, requests: 98840, responses: 90200 sent/sec: 140.6 kB recv/sec 128.3 kB req/sec: 549 res/sec 501
[Conn 88] sent: 24.0 MB, received: 23.1 MB, requests: 93603, responses: 90175 sent/sec: 133.1 kB recv/sec 128.2 kB req/sec: 520 res/sec 500
[Conn 89] sent: 23.3 MB, received: 23.1 MB, requests: 91160, responses: 90231 sent/sec: 129.6 kB recv/sec 128.3 kB req/sec: 506 res/sec 501
[Conn 90] sent: 23.3 MB, received: 23.1 MB, requests: 91128, responses: 90075 sent/sec: 129.6 kB recv/sec 128.1 kB req/sec: 506 res/sec 500
[Conn 91] sent: 23.5 MB, received: 23.1 MB, requests: 91800, responses: 90327 sent/sec: 130.6 kB recv/sec 128.5 kB req/sec: 510 res/sec 501
[Conn 92] sent: 23.5 MB, received: 23.1 MB, requests: 91800, responses: 90294 sent/sec: 130.6 kB recv/sec 128.4 kB req/sec: 510 res/sec 501
[Conn 93] sent: 25.3 MB, received: 23.1 MB, requests: 98840, responses: 90198 sent/sec: 140.6 kB recv/sec 128.3 kB req/sec: 549 res/sec 501
[Conn 94] sent: 17.9 MB, received: 15.5 MB, requests: 69898, responses: 60716 sent/sec: 99.4 kB recv/sec 86.4 kB req/sec: 388 res/sec 337
[Conn 95] sent: 23.9 MB, received: 23.1 MB, requests: 93464, responses: 90262 sent/sec: 132.9 kB recv/sec 128.4 kB req/sec: 519 res/sec 501
[Conn 96] sent: 23.4 MB, received: 23.1 MB, requests: 91406, responses: 90415 sent/sec: 130.0 kB recv/sec 128.6 kB req/sec: 507 res/sec 502
[Conn 97] sent: 23.9 MB, received: 23.1 MB, requests: 93335, responses: 90273 sent/sec: 132.7 kB recv/sec 128.4 kB req/sec: 518 res/sec 501
[Conn 98] sent: 23.5 MB, received: 23.1 MB, requests: 91672, responses: 90170 sent/sec: 130.4 kB recv/sec 128.2 kB req/sec: 509 res/sec 500
[Conn 99] sent: 23.5 MB, received: 23.1 MB, requests: 91672, responses: 90400 sent/sec: 130.4 kB recv/sec 128.6 kB req/sec: 509 res/sec 502
[Conn 100] sent: 23.5 MB, received: 23.2 MB, requests: 91672, responses: 90518 sent/sec: 130.4 kB recv/sec 128.7 kB req/sec: 509 res/sec 502
[Conn 101] sent: 23.5 MB, received: 23.1 MB, requests: 91672, responses: 90229 sent/sec: 130.4 kB recv/sec 128.3 kB req/sec: 509 res/sec 501
[Conn 102] sent: 7.0 MB, received: 6.9 MB, requests: 27163, responses: 27139 sent/sec: 38.6 kB recv/sec 38.6 kB req/sec: 150 res/sec 150
