--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 91] sent: 1.2 GB, received: 1.2 GB, requests: 11865, responses: 11763 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289086ms
[Conn 92] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11750 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290396ms
[Conn 93] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290001ms
[Conn 94] sent: 1.2 GB, received: 1.2 GB, requests: 11855, responses: 11753 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289195ms
[Conn 95] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11750 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289585ms
[Conn 96] sent: 1.2 GB, received: 1.2 GB, requests: 11837, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289575ms
[Conn 97] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287283ms
[Conn 98] sent: 1.2 GB, received: 1.2 GB, requests: 11829, responses: 11754 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290423ms
[Conn 99] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287579ms
[Conn 100] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11764 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288113ms
[Conn 101] sent: 1.2 GB, received: 1.2 GB, requests: 11857, responses: 11755 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289101ms
[Conn 102] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288754ms
