--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 256 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 86] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783792ms
[Conn 87] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783706ms
[Conn 88] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783793ms
[Conn 89] sent: 16.5 MB, received: 16.5 MB, requests: 64628, responses: 64627 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783577ms
[Conn 90] sent: 16.5 MB, received: 16.5 MB, requests: 64620, responses: 64619 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 358 avg-res-time: 2.783927ms
[Conn 91] sent: 16.5 MB, received: 16.5 MB, requests: 64626, responses: 64625 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783666ms
[Conn 92] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783833ms
[Conn 93] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783879ms
[Conn 94] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.78371ms
[Conn 95] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783886ms
[Conn 96] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783838ms
[Conn 97] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783749ms
[Conn 98] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783836ms
[Conn 99] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783792ms
[Conn 100] sent: 16.5 MB, received: 16.5 MB, requests: 64626, responses: 64625 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783668ms
[Conn 101] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783713ms
[Conn 102] sent: 16.5 MB, received: 16.5 MB, requests: 64620, responses: 64619 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 358 avg-res-time: 2.783929ms
[Conn 103] sent: 16.5 MB, received: 16.5 MB, requests: 64618, responses: 64617 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 358 res/sec 358 avg-res-time: 2.78401ms
[Conn 104] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783753ms
